Anonymization Type,Average ROUGE-1 Score,Average ROUGE-L Score,Average BLEU Score,Average Cosine Similarity Score,Average Perplexity Score
response_pii_deleted,0.66,0.47,0.3,0.79,26.29
response_pii_labeled,0.66,0.48,0.3,0.78,26.25
response_pii_synthetic,0.57,0.42,0.24,0.66,31.38
response_pii_dp_diffractor1,0.64,0.44,0.24,0.87,27.02
response_pii_dp_diffractor2,0.7,0.53,0.34,0.92,25.57
response_pii_dp_diffractor3,0.74,0.58,0.4,0.93,25.65
response_pii_dp_dp_prompt1,0.36,0.25,0.1,0.48,42.29
response_pii_dp_dp_prompt2,0.4,0.26,0.11,0.61,39.12
response_pii_dp_dp_prompt3,0.44,0.27,0.12,0.68,32.05
response_pii_dp_dpmlm1,0.51,0.32,0.14,0.75,33.79
response_pii_dp_dpmlm2,0.53,0.34,0.16,0.78,32.26
response_pii_dp_dpmlm3,0.54,0.34,0.16,0.78,32.89
